realSum,room_type,person_capacity,business,cleanliness_rating,guest_satisfaction_overall,bedrooms
241.1360813629227,Private,2,0,10.0,92.0,0
393.4572211937291,Private,2,0,10.0,100.0,1
526.0937829540928,Apartment,3,0,8.0,86.0,3
704.1923464485741,Apartment,4,0,9.0,100.0,3
712.6285941930495,Apartment,4,0,10.0,97.0,2
553.0429076933893,Private,4,0,10.0,100.0,2
497.7386169240504,Private,3,0,10.0,100.0,0
356.4314672040869,Apartment,2,0,10.0,93.0,0
1167.2486115342256,Apartment,4,0,10.0,98.0,2
860.2629297213696,Apartment,4,0,10.0,95.0,2
276.52145384669467,Private,2,0,10.0,96.0,1
1450.331591404401,Apartment,5,0,10.0,100.0,2
436.10714034635487,Private,2,0,9.0,92.0,1
362.5243127973192,Private,2,0,10.0,98.0,1
1804.1853162421205,Apartment,6,0,9.0,94.0,3
423.9214491598904,Private,2,1,10.0,100.0,0
521.1726384364821,Private,3,1,9.0,86.0,0
491.64577133081815,Apartment,3,0,9.0,99.0,2
374.944344198908,Private,2,1,9.0,82.0,0
718.9557800014061,Apartment,2,0,9.0,97.0,1
301.127176434748,Private,2,0,10.0,96.0,1
277.69315492231624,Private,2,0,10.0,97.0,1
331.8257446160336,Private,2,0,10.0,96.0,1
228.71604996133388,Private,2,0,10.0,90.0,1
798.6314531436741,Apartment,4,0,10.0,98.0,3
228.71604996133388,Private,2,0,10.0,96.0,1
239.4956998570525,Private,2,0,9.0,93.0,1
301.127176434748,Private,2,0,10.0,92.0,1
577.4142900663184,Private,3,0,10.0,98.0,2
368.8514986056758,Apartment,2,0,10.0,98.0,1
363.4616736578165,Private,2,0,10.0,94.0,1
387.1300353853725,Private,2,0,10.0,99.0,1
331.8257446160336,Private,2,0,10.0,99.0,1
774.2600707707451,Apartment,4,0,10.0,100.0,3
337.91859020926586,Private,2,0,10.0,99.0,1
270.4286082534624,Private,2,0,10.0,99.0,1
280.03655707355944,Private,2,0,10.0,93.0,1
798.6314531436741,Apartment,4,0,9.0,98.0,4
743.5615025894595,Apartment,2,0,10.0,98.0,1
288.7071450331592,Private,2,0,8.0,75.0,1
384.7866332341293,Apartment,2,0,10.0,98.0,1
878.7758067161907,Private,4,0,9.0,88.0,1
1567.0330185363111,Apartment,3,0,10.0,100.0,0
614.4400440559605,Private,2,0,10.0,99.0,1
337.6842499941415,Apartment,2,0,10.0,100.0,1
489.30236917957495,Apartment,2,0,8.0,93.0,1
764.4177817355237,Private,4,0,10.0,94.0,2
196.6114404893024,Private,2,0,9.0,94.0,1
1044.6886790242074,Apartment,4,0,8.0,91.0,2
394.3945820542264,Apartment,2,0,10.0,90.0,1
721.5335223677736,Apartment,4,0,9.0,96.0,2
556.5580109202541,Private,4,0,7.0,82.0,1
762.0743795842806,Private,2,0,10.0,90.0,1
337.91859020926586,Private,2,0,10.0,96.0,1
890.9614979026552,Apartment,4,0,10.0,98.0,2
410.5640568978043,Private,4,1,9.0,91.0,1
1429.2409720432124,Apartment,3,0,10.0,98.0,2
175.75516134323811,Private,2,0,10.0,95.0,1
280.03655707355944,Private,2,0,9.0,96.0,1
386.8956951702482,Apartment,2,0,10.0,97.0,0
522.3443395121037,Apartment,4,0,9.0,100.0,1
196.6114404893024,Private,2,0,9.0,92.0,1
288.7071450331592,Private,2,0,9.0,98.0,1
921.6600660839408,Apartment,4,0,10.0,95.0,2
362.5243127973192,Apartment,4,1,10.0,100.0,2
734.8909146298597,Apartment,2,0,9.0,97.0,1
393.4572211937291,Apartment,2,0,7.0,75.0,1
531.9522883322007,Apartment,4,0,10.0,92.0,3
295.2686710566401,Private,2,0,10.0,100.0,1
368.8514986056758,Private,2,0,9.0,87.0,0
196.6114404893024,Private,2,0,10.0,90.0,1
276.2871136315703,Private,2,0,10.0,93.0,1
378.6937876408971,Apartment,2,0,10.0,99.0,1
510.1586483256392,Private,2,0,10.0,100.0,1
700.442903006585,Apartment,4,0,10.0,96.0,2
381.0371897921403,Private,2,0,10.0,96.0,1
209.03147189089125,Private,2,0,10.0,98.0,1
1032.502987837743,Apartment,2,0,9.0,98.0,1
491.64577133081815,Private,4,1,9.0,91.0,1
284.95770159117006,Private,2,0,10.0,96.0,1
325.498558807677,Private,2,0,10.0,93.0,1
